geometry,cases,county
"list(c(-77.4467010498047, -77.4295196533203, -77.3722152709961, -77.3206481933594, -77.2347106933594, -77.1888732910156, -77.1774139404297, -77.1373062133789, -77.0914688110352, -77.0685577392578, -77.028450012207, -77.0112533569336, -76.9826126098633, -76.9768829345703, -76.9768829345703, -76.9768829345703, -76.9654159545898, -76.9654159545898, -76.9654159545898, -77.0112533569336, -76.9997940063477, -77.0055236816406, -77.2289810180664, -77.4467010498047, -77.4581604003906, -77.4467010498047, 39.9695358276367, 
39.9867248535156, 40.0039138793945, 40.0153732299805, 40.0268325805664, 40.0325622558594, 40.0497512817383, 40.0669364929199, 40.0497512817383, 40.0268325805664, 40.0153732299805, 39.9981803894043, 39.9638061523438, 39.91796875, 39.8893241882324, 39.8721351623535, 39.8721351623535, 39.8606719970703, 39.8492164611816, 39.8434867858887, 39.8320274353027, 39.7288932800293, 39.7288932800293, 39.7288932800293, 39.9638061523438, 39.9695358276367))",55,adams
"list(c(-80.1453399658203, -79.6984329223633, -79.7041625976562, -79.744270324707, -79.7557220458984, -79.7671813964844, -79.7671813964844, -79.7499923706055, -79.7213439941406, -79.7098846435547, -79.7041625976562, -79.7041625976562, -79.7156143188477, -79.7385406494141, -79.7729110717773, -79.7786483764648, -79.7843780517578, -79.7901077270508, -79.7958297729492, -79.7843780517578, -79.8588562011719, -79.8932342529297, -79.9505310058594, -79.9562606811523, -79.9562606811523, -79.9333419799805, -79.9161529541016, 
-79.9276123046875, -79.9562606811523, -80.1797103881836, -80.3516006469727, -80.1797103881836, -80.1453399658203, -80.1453399658203, 40.6742744445801, 40.6742744445801, 40.6341667175293, 40.6112480163574, 40.5997886657715, 40.5825996398926, 40.5654106140137, 40.5539512634277, 40.548225402832, 40.5310363769531, 40.5081176757812, 40.4336318969727, 40.4107131958008, 40.3935241699219, 40.3877983093262, 40.3534164428711, 40.2903900146484, 40.2674713134766, 40.244556427002, 40.233097076416, 40.1929893493652, 
40.1987190246582, 40.2216377258301, 40.233097076416, 40.238826751709, 40.244556427002, 40.2502861022949, 40.2560157775879, 40.2674713134766, 40.3304977416992, 40.4794692993164, 40.6112480163574, 40.6112480163574, 40.6742744445801))",1275,allegheny
"list(c(-79.2114181518555, -79.2056884765625, -79.2114181518555, -79.4520568847656, -79.4921646118164, -79.5208129882812, -79.560920715332, -79.566650390625, -79.560920715332, -79.566650390625, -79.5895614624023, -79.5895614624023, -79.5895614624023, -79.6067581176758, -79.6525955200195, -79.6697769165039, -79.6984329223633, -79.6927032470703, -79.6755065917969, -79.6697769165039, -79.6583251953125, -79.6525955200195, -79.6411361694336, -79.6067581176758, -79.6010284423828, -79.6010284423828, -79.5838394165039, 
-79.5838394165039, -79.5952987670898, -79.6124877929688, -79.6124877929688, -79.5952987670898, -79.566650390625, -79.5380020141602, -79.5093536376953, -79.4921646118164, -79.4807052612305, -79.4692459106445, -79.4577865600586, -79.4234085083008, -79.4062194824219, -79.3661117553711, -79.3546524047852, -79.2629776000977, -79.2515258789062, -79.2114181518555, -79.2114181518555, 40.9091873168945, 40.7888641357422, 40.7774085998535, 40.5253067016602, 40.5367622375488, 40.548225402832, 40.5654106140137, 
40.5825996398926, 40.5997886657715, 40.6112480163574, 40.6055183410645, 40.6112480163574, 40.6227073669434, 40.6341667175293, 40.6742744445801, 40.680004119873, 40.6742744445801, 41.144100189209, 41.1211814880371, 41.0868034362793, 41.0753440856934, 41.0524253845215, 41.0524253845215, 41.0409660339355, 41.0295066833496, 41.0123176574707, 41.0065879821777, 40.9951286315918, 40.9893989562988, 40.9893989562988, 40.9722099304199, 40.9722099304199, 40.9893989562988, 40.9836730957031, 40.9836730957031, 
40.9951286315918, 41.000862121582, 41.000862121582, 40.9951286315918, 40.9951286315918, 41.0065879821777, 40.9893989562988, 40.9951286315918, 41.0237808227539, 41.0409660339355, 41.0581550598145, 40.9091873168945))",49,armstrong
"list(c(-80.1567993164062, -80.1453399658203, -80.1453399658203, -80.1797103881836, -80.3516006469727, -80.5177612304688, -80.5177612304688, -80.5120315551758, -80.1567993164062, 40.8518905639648, 40.6742744445801, 40.6112480163574, 40.6112480163574, 40.4794692993164, 40.4794692993164, 40.6456260681152, 40.8576202392578, 40.8518905639648))",172,beaver
"list(c(-78.3806304931641, -78.7988891601562, -78.7587814331055, -78.7530517578125, -78.7358627319336, -78.655647277832, -78.655647277832, -78.6441879272461, -78.6384506225586, -78.6155395507812, -78.5697021484375, -78.5525131225586, -78.5238647460938, -78.4952163696289, -78.4493789672852, -78.4321899414062, -78.2832260131836, -78.2545776367188, -78.2488479614258, -78.1342544555664, -78.1514434814453, -78.214469909668, -78.1800918579102, -78.3462524414062, -78.3806304931641, 39.7288932800293, 39.7288932800293, 
39.8262977600098, 40.0726699829102, 40.0726699829102, 40.238826751709, 40.2789344787598, 40.2789344787598, 40.3075790405273, 40.3247718811035, 40.3133087158203, 40.3018531799316, 40.2961235046387, 40.2789344787598, 40.2502861022949, 40.3018531799316, 40.2502861022949, 40.2789344787598, 40.2216377258301, 40.1586112976074, 40.1070442199707, 40.0898551940918, 40.061206817627, 39.7690010070801, 39.7288932800293))",37,bedford
"list(c(-75.5330276489258, -75.6934509277344, -75.7450256347656, -75.767936706543, -75.7965927124023, -75.8367004394531, -75.8768005371094, -76.1575546264648, -76.2033920288086, -76.2434997558594, -76.4325714111328, -76.3638153076172, -76.3351669311523, -76.3122482299805, -76.2377624511719, -76.21484375, -76.1403579711914, -76.1174468994141, -76.0716094970703, -76.0544128417969, -76.0200424194336, -76.0085754394531, -75.9971237182617, -75.9856643676758, -75.9742050170898, -75.8825302124023, -75.5330276489258, 
40.4508171081543, 40.2502861022949, 40.233097076416, 40.2159080505371, 40.1929893493652, 40.1643409729004, 40.1414260864258, 40.3190422058105, 40.3591461181641, 40.3820648193359, 40.4909286499023, 40.5081176757812, 40.5081176757812, 40.5081176757812, 40.5310363769531, 40.5424919128418, 40.5539512634277, 40.5654106140137, 40.5768699645996, 40.5825996398926, 40.5825996398926, 40.5825996398926, 40.5883293151855, 40.6227073669434, 40.6513557434082, 40.6742744445801, 40.4508171081543))",308,berks
"list(c(-78.1170654296875, -78.1743621826172, -78.1800918579102, -78.2259292602539, -78.1686325073242, -78.1743621826172, -78.1800918579102, -78.1800918579102, -78.1915512084961, -78.1686325073242, -78.1399841308594, -78.1285247802734, -78.1399841308594, -78.1571731567383, -78.1342544555664, -78.1285247802734, -78.1170654296875, -78.1972808837891, -78.2545776367188, -78.2832260131836, -78.4321899414062, -78.4493789672852, -78.4952163696289, -78.5238647460938, -78.5525131225586, -78.5697021484375, 
-78.6155395507812, -78.5983505249023, -78.5639724731445, -78.5582427978516, -78.5410537719727, -78.5295944213867, -78.5066757202148, -78.47802734375, -78.4665756225586, -78.4493789672852, -78.4379196166992, -78.4092712402344, -78.3519744873047, -78.3577041625977, -78.1170654296875, 40.7373008728027, 40.7086524963379, 40.7086524963379, 40.6628150939941, 40.6227073669434, 40.6112480163574, 40.5940628051758, 40.5654106140137, 40.548225402832, 40.5367622375488, 40.5596809387207, 40.5654106140137, 40.5424919128418, 
40.5023880004883, 40.496654510498, 40.5023880004883, 40.496654510498, 40.3935241699219, 40.2789344787598, 40.2502861022949, 40.3018531799316, 40.2502861022949, 40.2789344787598, 40.2961235046387, 40.3018531799316, 40.3133087158203, 40.3247718811035, 40.3534164428711, 40.37060546875, 40.4393615722656, 40.496654510498, 40.5195732116699, 40.5367622375488, 40.548225402832, 40.5654106140137, 40.5940628051758, 40.6513557434082, 40.6513557434082, 40.7315711975098, 40.7315711975098, 40.7373008728027))",127,blair
"list(c(-76.1460876464844, -76.1346282958984, -76.220573425293, -76.21484375, -76.21484375, -76.220573425293, -76.2320327758789, -76.8336410522461, -76.8852081298828, -76.9367752075195, -76.5643539428711, -76.1460876464844, 42.0035362243652, 41.6483001708984, 41.6483001708984, 41.6311111450195, 41.6196556091309, 41.5852737426758, 41.5508995056152, 41.5795478820801, 41.5852737426758, 41.9978065490723, 42.0035362243652, 42.0035362243652))",59,bradford
"list(c(-74.9715270996094, -74.9543380737305, -74.9543380737305, -74.9715270996094, -74.9944458007812, -75.0116348266602, -75.4757308959961, -75.3955154418945, -75.3382263183594, -75.2064437866211, -75.2007141113281, -75.1720657348633, -75.1434097290039, -75.1204986572266, -75.0861206054688, -75.0689315795898, -75.0689315795898, -75.0632019042969, -75.046012878418, -75.0116348266602, -74.9657974243164, -74.9314270019531, -74.9199600219727, -74.8970413208008, -74.8741226196289, -74.85693359375, -74.8340148925781, 
-74.8168258666992, -74.7824478149414, -74.7366104125977, -74.7308807373047, -74.765266418457, -74.8053741455078, -74.8340148925781, -74.862663269043, -74.9142303466797, -74.9715270996094, 40.0554809570312, 40.0898551940918, 40.1070442199707, 40.1242332458496, 40.1299629211426, 40.1414260864258, 40.4279022216797, 40.5081176757812, 40.548225402832, 40.6169776916504, 40.5940628051758, 40.5768699645996, 40.5768699645996, 40.5768699645996, 40.5654106140137, 40.5539512634277, 40.4794692993164, 40.4450912475586, 
40.4279022216797, 40.4164428710938, 40.4049835205078, 40.3591461181641, 40.3362274169922, 40.3247718811035, 40.3075790405273, 40.2903900146484, 40.2674713134766, 40.244556427002, 40.233097076416, 40.1643409729004, 40.1471519470215, 40.1356925964355, 40.1299629211426, 40.1070442199707, 40.095588684082, 40.0841255187988, 40.0554809570312))",454,bucks
"list(c(-80.1453399658203, -80.1567993164062, -80.1567993164062, -80.0995025634766, -80.0020980834961, -79.6927032470703, -79.6927032470703, -79.6984329223633, -80.1453399658203, 40.6742744445801, 40.8518905639648, 41.000862121582, 41.0696144104004, 41.1670188903809, 41.1670188903809, 41.144100189209, 40.6742744445801, 40.6742744445801))",158,butler
"list(c(-79.0509872436523, -78.9707717895508, -78.9134750366211, -78.8905563354492, -78.7988891601562, -78.3577041625977, -78.3519744873047, -78.4092712402344, -78.4379196166992, -78.4493789672852, -78.4665756225586, -78.47802734375, -78.5066757202148, -78.5295944213867, -78.5410537719727, -78.5582427978516, -78.5639724731445, -78.5983505249023, -78.6155395507812, -78.6384506225586, -78.6441879272461, -78.655647277832, -78.655647277832, -78.8791046142578, -78.8905563354492, -78.9306640625, -79.0509872436523, 
40.2789344787598, 40.3935241699219, 40.4909286499023, 40.5253067016602, 40.7258415222168, 40.7315711975098, 40.7315711975098, 40.6513557434082, 40.6513557434082, 40.5940628051758, 40.5654106140137, 40.548225402832, 40.5367622375488, 40.5195732116699, 40.496654510498, 40.4393615722656, 40.37060546875, 40.3534164428711, 40.3247718811035, 40.3075790405273, 40.2789344787598, 40.2789344787598, 40.238826751709, 40.244556427002, 40.2674713134766, 40.3018531799316, 40.2789344787598))",121,cambria
"list(c(-78.1056060791016, -78.2431182861328, -78.2431182861328, -78.2545776367188, -78.2545776367188, -78.4207382202148, -78.4264678955078, -78.4207382202148, -78.2201995849609, -78.0483093261719, -77.9910125732422, -77.9852828979492, -78.1056060791016, 41.2185821533203, 41.2300453186035, 41.3159866333008, 41.3274459838867, 41.401927947998, 41.4076614379883, 41.596736907959, 41.6081924438477, 41.6081924438477, 41.4764175415039, 41.4764175415039, 41.3732833862305, 41.2185821533203))",8,cameron
"list(c(-75.6418838500977, -75.6075134277344, -75.5960464477539, -75.5616760253906, -75.5502166748047, -75.5444869995117, -75.498649597168, -75.5788650512695, -75.5043792724609, -75.4814605712891, -75.6075134277344, -75.6934509277344, -75.756477355957, -75.8882598876953, -75.9111785888672, -75.9971237182617, -75.7450256347656, -75.7507553100586, -75.767936706543, -75.7793960571289, -75.7736663818359, -75.76220703125, -75.7335586547852, -75.7049179077148, -75.6934509277344, -75.6762619018555, -75.6648101806641, 
-75.6418838500977, 41.1154518127441, 41.0982627868652, 41.0868034362793, 41.0581550598145, 41.0466995239258, 41.0295066833496, 41.000862121582, 40.949291229248, 40.8576202392578, 40.8175163269043, 40.7888641357422, 40.7716789245605, 40.7373008728027, 40.8232421875, 40.8461608886719, 40.9149169921875, 41.0123176574707, 41.0295066833496, 41.0466995239258, 41.0638847351074, 41.0753440856934, 41.0868034362793, 41.0868034362793, 41.1211814880371, 41.1269111633301, 41.1269111633301, 41.1211814880371, 41.1154518127441
))",42,carbon
"list(c(-77.1545028686523, -77.3664855957031, -77.4008712768555, -77.4409790039062, -77.4467010498047, -77.6415100097656, -77.7102661132812, -77.7217254638672, -77.7847518920898, -77.8134002685547, -77.9509048461914, -78.1170654296875, -78.3577041625977, -78.3634338378906, -78.3634338378906, -78.3347930908203, -78.3061447143555, -78.2946853637695, -78.2889556884766, -78.2660369873047, -78.214469909668, -78.1858139038086, -78.1800918579102, -78.1800918579102, -78.1743621826172, -78.1686325073242, -78.1285247802734, 
-78.0998764038086, -78.1113357543945, -78.1056060791016, -78.0998764038086, -78.0769577026367, -78.0884170532227, -78.0826873779297, -78.1056060791016, -78.1227951049805, -78.0597763061523, -78.0196685791016, -78.0082015991211, -77.9738311767578, -77.9451751708984, -77.9394454956055, -77.8993377685547, -77.8993377685547, -77.7847518920898, -77.7847518920898, -77.7675628662109, -77.7389144897461, -77.6930770874023, -77.6300506591797, -77.6014022827148, -77.5842132568359, -77.5613021850586, -77.5555648803711, 
-77.57275390625, -77.4982681274414, -77.1545028686523, 41.0409660339355, 40.8404350280762, 40.8404350280762, 40.828971862793, 40.8175163269043, 40.7487602233887, 40.7201080322266, 40.7315711975098, 40.7315711975098, 40.7487602233887, 40.697193145752, 40.7373008728027, 40.7315711975098, 40.7602157592773, 40.7716789245605, 40.8060531616211, 40.8232421875, 40.8347015380859, 40.8576202392578, 40.8576202392578, 40.9149169921875, 40.9321060180664, 40.9435653686523, 40.9607543945312, 40.966480255127, 40.9607543945312, 
40.949291229248, 40.9607543945312, 40.966480255127, 40.9836730957031, 40.9951286315918, 41.000862121582, 41.0180473327637, 41.0409660339355, 41.0753440856934, 41.1211814880371, 41.144100189209, 41.1612892150879, 41.1727447509766, 41.2128524780273, 41.2128524780273, 41.2243118286133, 41.2529640197754, 41.1784744262695, 41.1727447509766, 41.1326370239258, 41.138370513916, 41.1039924621582, 41.1039924621582, 41.0868034362793, 41.0753440856934, 41.0696144104004, 41.0753440856934, 41.0638847351074, 41.0524253845215, 
40.949291229248, 41.0409660339355))",61,centre
"list(c(-75.6934509277344, -75.6476135253906, -75.6304321289062, -75.6075134277344, -75.5903244018555, -75.5903244018555, -75.5559387207031, -75.5272979736328, -75.5272979736328, -75.5101013183594, -75.498649597168, -75.4700012207031, -75.4585418701172, -75.4700012207031, -75.4528121948242, -75.4298934936523, -75.3955154418945, -75.3668670654297, -75.3611373901367, -75.4127044677734, -75.4069747924805, -75.4528121948242, -75.4470825195312, -75.4470825195312, -75.5101013183594, -75.5559387207031, -75.5903244018555, 
-75.6189727783203, -75.6418838500977, -75.6819915771484, -75.7049179077148, -75.7335586547852, -75.7450256347656, -75.76220703125, -75.8023147583008, -76.1059875488281, -76.0544128417969, -76.0429611206055, -76.0200424194336, -76.0143127441406, -75.9913940429688, -75.9856643676758, -75.9340972900391, -75.9283676147461, -75.8768005371094, -75.8367004394531, -75.7965927124023, -75.767936706543, -75.7450256347656, -75.6934509277344, 40.2502861022949, 40.2502861022949, 40.244556427002, 40.244556427002, 
40.238826751709, 40.2216377258301, 40.2159080505371, 40.1758003234863, 40.1586112976074, 40.1528816223145, 40.1471519470215, 40.1414260864258, 40.1356925964355, 40.1185073852539, 40.0898551940918, 40.1013145446777, 40.0726699829102, 40.0783996582031, 40.0726699829102, 40.0497512817383, 40.0325622558594, 39.9981803894043, 39.9867248535156, 39.9809951782227, 39.9523468017578, 39.9065093994141, 39.8721351623535, 39.8377532958984, 39.8320274353027, 39.8148345947266, 39.7976493835449, 39.780460357666, 
39.7575416564941, 39.7288932800293, 39.7288932800293, 39.7288932800293, 39.786190032959, 39.8148345947266, 39.8434867858887, 39.8721351623535, 39.8835906982422, 39.9466171264648, 40.0497512817383, 40.1070442199707, 40.1414260864258, 40.1643409729004, 40.1929893493652, 40.2159080505371, 40.233097076416, 40.2502861022949))",291,chester
